User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
149547063,12/31/2021 3:13,Spot,Savings Interest,BTC,0.00000111,
149547063,12/31/2021 3:34,Spot,Savings Interest,ADA,0.00139465,
149547063,12/31/2021 3:34,Spot,Savings Interest,BNB,0.00000102,
149547063,12/31/2021 6:11,Spot,Super BNB Mining,HIGH,0.00038873,
149547063,12/31/2021 8:45,Spot,ETH 2.0 Staking Rewards,BETH,1.00E-08,
149547063,12/31/2021 10:50,Spot,Super BNB Mining,MC,0.0009815,
149547063,1/1/2022 3:13,Spot,Savings Interest,BTC,0.00000111,
149547063,1/1/2022 3:32,Spot,Savings Interest,ADA,0.00139465,
149547063,1/1/2022 3:33,Spot,Savings Interest,BNB,0.00000102,
149547063,1/1/2022 5:41,Spot,Super BNB Mining,HIGH,0.00038929,
149547063,1/1/2022 8:57,Spot,ETH 2.0 Staking Rewards,BETH,1.00E-08,
149547063,1/1/2022 10:14,Spot,Super BNB Mining,MC,0.00098217,
149547063,1/2/2022 3:13,Spot,Savings Interest,BTC,0.00000111,
149547063,1/2/2022 3:34,Spot,Savings Interest,ADA,0.00139465,
149547063,1/2/2022 3:34,Spot,Savings Interest,BNB,0.00000102,
149547063,1/2/2022 5:46,Spot,Super BNB Mining,HIGH,0.0003889,
149547063,1/2/2022 9:26,Spot,ETH 2.0 Staking Rewards,BETH,1.00E-08,
149547063,1/2/2022 10:24,Spot,Super BNB Mining,MC,0.00098006,
149547063,1/3/2022 2:08,Spot,Savings Interest,BTC,0.00000111,
149547063,1/3/2022 2:18,Spot,Savings Interest,ADA,0.00139465,
149547063,1/3/2022 2:20,Spot,Savings Interest,BNB,0.00000102,
149547063,1/3/2022 5:38,Spot,Super BNB Mining,HIGH,0.00038805,
149547063,1/3/2022 8:59,Spot,ETH 2.0 Staking Rewards,BETH,1.00E-08,
149547063,1/3/2022 10:52,Spot,Super BNB Mining,MC,0.00097909,
149547063,1/4/2022 2:08,Spot,Savings Interest,BTC,0.00000111,
149547063,1/4/2022 2:19,Spot,Savings Interest,ADA,0.00139465,
149547063,1/4/2022 2:20,Spot,Savings Interest,BNB,0.00000102,
149547063,1/4/2022 5:31,Spot,Super BNB Mining,HIGH,0.00038937,
149547063,1/4/2022 8:30,Spot,ETH 2.0 Staking Rewards,BETH,1.00E-08,
149547063,1/4/2022 9:54,Spot,Super BNB Mining,MC,0.00098047,
149547063,1/5/2022 2:19,Spot,Super BNB Mining,HIGH,0.0003955,
149547063,1/5/2022 2:46,Spot,Super BNB Mining,MC,0.00098604,
149547063,1/5/2022 3:13,Spot,Savings Interest,BTC,0.00000111,
149547063,1/5/2022 3:33,Spot,Savings Interest,BNB,0.00000102,
149547063,1/5/2022 3:33,Spot,Savings Interest,ADA,0.00139465,
149547063,1/5/2022 8:48,Spot,ETH 2.0 Staking Rewards,BETH,1.00E-08,
149547063,1/6/2022 3:14,Spot,Savings Interest,BTC,0.00000111,
149547063,1/6/2022 3:36,Spot,Savings Interest,BNB,0.00000102,
149547063,1/6/2022 3:39,Spot,Savings Interest,ADA,0.00139465,
149547063,1/6/2022 5:10,Spot,Super BNB Mining,HIGH,0.00039614,
